,Episode Number,First Activation Time [s],First Event Time [s],First Event Amplitude[A]
0,0,0.015650,0.015725,-0.000000000001750
1,1,0.015225,0.015175,-0.000000000000570
2,2,0.015100,0.015250,-0.000000000002330
3,3,0.015325,0.015250,-0.000000000000570
4,4,0.015425,0.015375,-0.000000000001180
5,5,0.015200,0.015275,-0.000000000001180
6,6,0.015450,0.015400,-0.000000000000570
7,7,0.015375,0.015450,-0.000000000001180
8,8,0.015300,0.015350,-0.000000000001750
9,9,0.015275,0.015400,-0.000000000002330
10,10,0.015075,0.015125,-0.000000000001750
11,11,0.015425,0.015500,-0.000000000001750
12,12,0.015175,0.015125,-0.000000000001180
13,13,0.015200,0.015150,-0.000000000000570
14,14,0.015150,0.015075,-0.000000000000570
15,15,0.015275,0.015200,-0.000000000000570
16,16,0.015200,0.015150,-0.000000000001180
17,17,0.015375,0.015275,-0.000000000000570
18,18,0.015075,0.015125,-0.000000000001750
19,19,0.015100,0.015050,-0.000000000001180
20,20,0.015175,0.015100,-0.000000000001180
21,21,0.015125,0.015075,-0.000000000000570
22,22,0.015375,0.015450,-0.000000000001750
23,23,0.015375,0.015450,-0.000000000001750
24,24,0.015075,0.014975,-0.000000000000570
25,25,0.015025,0.015100,-0.000000000001750
26,26,0.015200,0.015150,-0.000000000000570
27,27,0.015400,0.015475,-0.000000000001180
28,28,0.015325,0.015250,-0.000000000000570
29,29,0.015125,0.015200,-0.000000000001750
30,30,0.015325,0.015275,-0.000000000001180
31,31,0.015275,0.015225,-0.000000000001180
32,32,0.015400,0.015325,-0.000000000000570
33,33,0.015175,0.015300,-0.000000000001750
34,34,0.015350,0.015100,-0.000000000000570
35,35,0.015200,0.015100,-0.000000000000570
36,36,0.015525,0.015475,-0.000000000001180
37,37,0.015275,0.015225,-0.000000000000570
38,38,0.015325,0.015250,-0.000000000000570
39,39,0.015075,0.015275,-0.000000000002330
40,40,0.015200,0.015250,-0.000000000001750
41,41,0.015375,0.015275,-0.000000000000570
42,42,0.015150,0.015275,-0.000000000002330
43,43,0.015150,0.015200,-0.000000000001750
44,44,0.015075,0.015150,-0.000000000001180
45,45,0.015250,0.015575,-0.000000000001180
46,46,0.015125,0.015100,-0.000000000001180
47,47,0.015100,0.015275,-0.000000000002330
