,Episode Number,First Activation Time [s],First Event Time [s],First Event Amplitude[A]
0,0,0.014125,0.014050,-0.000000000001040
1,1,0.014075,0.014000,-0.000000000001040
2,2,0.014050,0.014000,-0.000000000001040
3,3,0.013975,0.014050,-0.000000000001040
4,4,0.014100,0.014025,-0.000000000001040
5,5,0.014025,0.014100,-0.000000000001540
6,6,0.014050,0.014225,-0.000000000001540
7,7,0.014100,0.014175,-0.000000000001040
8,8,0.014050,0.013975,-0.000000000001040
9,9,0.014200,0.014100,-0.000000000000500
10,10,0.014075,0.013950,-0.000000000000500
11,11,0.014075,0.014000,-0.000000000000500
12,12,0.014100,0.014050,-0.000000000001040
13,13,0.014625,0.014550,-0.000000000000500
14,14,0.014225,0.014100,-0.000000000000500
15,15,0.014225,0.014125,-0.000000000000500
16,16,0.014050,0.014100,-0.000000000001040
17,17,0.015050,0.015125,-0.000000000001040
18,18,0.014025,0.014100,-0.000000000001040
19,19,0.014200,0.014075,-0.000000000000500
20,20,0.014150,0.014025,-0.000000000000500
21,21,0.014725,0.014650,-0.000000000001040
22,22,0.014125,0.014350,-0.000000000002050
23,23,0.014075,0.014025,-0.000000000001040
24,24,0.014150,0.014050,-0.000000000000500
25,25,0.014175,0.014075,-0.000000000000500
26,26,0.014125,0.014175,-0.000000000001040
27,27,0.014050,0.014000,-0.000000000000500
28,28,0.014100,0.014025,-0.000000000000500
29,29,0.014125,0.014200,-0.000000000001040
30,30,0.014100,0.014175,-0.000000000001040
31,31,0.014700,0.014225,-0.000000000000500
32,32,0.014300,0.014175,-0.000000000000500
33,33,0.014100,0.013650,-0.000000000000500
34,34,0.014100,0.014150,-0.000000000001040
35,35,0.014100,0.014175,-0.000000000001540
36,36,0.014100,0.014150,-0.000000000001540
37,37,0.014100,0.014150,-0.000000000001540
38,38,0.014075,0.014150,-0.000000000001040
39,39,0.014000,0.014075,-0.000000000001540
40,40,0.014100,0.014000,-0.000000000000500
41,41,0.014200,0.014275,-0.000000000001040
42,42,0.014050,0.014125,-0.000000000001040
43,43,0.014250,0.014150,-0.000000000000500
44,44,0.014175,0.014125,-0.000000000001040
45,45,0.014150,0.014100,-0.000000000001040
46,46,0.014350,0.014250,-0.000000000000500
47,47,0.014125,0.013975,-0.000000000000500
48,48,0.014075,0.013975,-0.000000000000500
49,49,0.014100,0.014150,-0.000000000001040
50,50,0.014225,0.014150,-0.000000000000500
51,51,0.014125,0.014200,-0.000000000001040
52,52,0.014075,0.014150,-0.000000000001040
53,53,0.014250,0.014150,-0.000000000000500
54,54,0.014225,0.014300,-0.000000000001040
55,55,0.014075,0.014150,-0.000000000001040
56,56,0.014100,0.014025,-0.000000000000500
57,57,0.014450,0.014250,-0.000000000000500
58,58,0.012350,0.012175,-0.000000000000500
59,59,0.067650,0.067725,-0.000000000001040
60,60,0.014175,0.014075,-0.000000000000500
61,61,0.014125,0.014050,-0.000000000000500
62,62,0.014125,0.014200,-0.000000000001040
63,63,0.014200,0.013675,-0.000000000000500
64,64,0.014100,0.013975,-0.000000000000500
65,65,0.014200,0.014050,-0.000000000000500
66,66,0.014075,0.013925,-0.000000000000500
67,67,0.014175,0.014125,-0.000000000000500
68,68,0.014175,0.014075,-0.000000000000500
69,69,0.014225,0.014275,-0.000000000001040
70,70,0.014125,0.014025,-0.000000000000500
71,71,0.014150,0.014225,-0.000000000001040
72,72,0.014075,0.013900,-0.000000000000500
73,73,0.017400,0.017075,-0.000000000000500
74,74,0.015075,0.014225,-0.000000000000500
75,75,0.014875,0.014250,-0.000000000000500
76,76,0.014175,0.014100,-0.000000000000500
77,77,0.014100,0.014175,-0.000000000001040
78,78,0.014200,0.014100,-0.000000000000500
79,79,0.014400,0.013850,-0.000000000000500
80,80,0.014550,0.014125,-0.000000000000500
81,81,0.014000,0.014075,-0.000000000001540
82,82,0.014100,0.014175,-0.000000000001040
83,83,0.014000,0.014075,-0.000000000001040
84,84,0.014275,0.014150,-0.000000000000500
85,85,0.014500,0.014375,-0.000000000000500
86,86,0.014125,0.013975,-0.000000000000500
87,87,0.014125,0.014025,-0.000000000000500
88,88,0.014400,0.014175,-0.000000000000500
89,89,0.014250,0.014325,-0.000000000001040
90,90,0.014275,0.014175,-0.000000000000500
91,91,0.014100,0.014175,-0.000000000001040
92,92,0.014325,0.014000,-0.000000000000500
93,93,0.021025,0.020450,-0.000000000000500
94,94,0.014650,0.014550,-0.000000000000500
95,95,0.014675,0.014525,-0.000000000000500
96,96,0.014125,0.014050,-0.000000000000500
97,97,0.014150,0.014025,-0.000000000000500
98,98,0.014600,0.014475,-0.000000000000500
99,99,0.014225,0.014075,-0.000000000000500
100,100,0.014825,0.014075,-0.000000000000500
101,101,0.014200,0.014050,-0.000000000000500
