,Episode Number,First Activation Time [s],First Event Time [s],First Event Amplitude[A]
0,0,0.016500,0.016575,-0.000000000001750
1,1,0.015075,0.015000,-0.000000000000570
2,2,0.015275,0.015225,-0.000000000001180
3,3,0.015275,0.015225,-0.000000000001180
4,4,0.019325,0.019250,-0.000000000000570
5,5,0.015750,0.015650,-0.000000000000570
6,6,0.017425,0.017350,-0.000000000000570
7,7,0.014875,0.014950,-0.000000000001750
8,8,0.015225,0.015275,-0.000000000001750
9,9,0.015800,0.015950,-0.000000000001750
10,10,0.015075,0.015000,-0.000000000000570
11,11,0.015175,0.015100,-0.000000000000570
12,12,0.015425,0.015375,-0.000000000000570
13,13,0.015625,0.015525,-0.000000000000570
14,14,0.016800,0.016750,-0.000000000001180
15,15,0.015575,0.015650,-0.000000000001180
16,16,0.016325,0.016600,-0.000000000001750
17,17,0.017775,0.017725,-0.000000000001180
18,18,0.015125,0.015075,-0.000000000000570
19,19,0.015525,0.015500,-0.000000000001180
20,20,0.015975,0.016025,-0.000000000001750
21,21,0.014975,0.015025,-0.000000000001750
22,22,0.015125,0.015075,-0.000000000001180
23,23,0.015025,0.014925,-0.000000000000570
24,24,0.015525,0.015425,-0.000000000000570
25,25,0.015825,0.015750,-0.000000000000570
26,26,0.015600,0.015675,-0.000000000001180
27,27,0.015425,0.015500,-0.000000000001180
28,28,0.017175,0.017100,-0.000000000000570
29,29,0.015100,0.015000,-0.000000000000570
30,30,0.015250,0.015325,-0.000000000001180
31,31,0.015050,0.014950,-0.000000000000570
32,32,0.018825,0.018775,-0.000000000000570
33,33,0.016600,0.016525,-0.000000000000570
34,34,0.016275,0.016175,-0.000000000000570
35,35,0.015375,0.015325,-0.000000000001180
36,36,0.015650,0.015275,-0.000000000000570
37,37,0.018500,0.018175,-0.000000000000570
38,38,0.015675,0.015750,-0.000000000001180
39,39,0.018000,0.017900,-0.000000000000570
40,40,0.015650,0.015725,-0.000000000001180
41,41,0.016175,0.016100,-0.000000000000570
42,42,0.015275,0.015200,-0.000000000000570
43,43,0.016875,0.016450,-0.000000000000570
44,44,0.015950,0.015900,-0.000000000000570
45,45,0.016925,0.016875,-0.000000000001180
46,46,0.016125,0.016075,-0.000000000000570
47,47,0.016900,0.016825,-0.000000000000570
48,48,0.014975,0.014875,-0.000000000000570
49,49,0.016325,0.016250,-0.000000000000570
50,50,0.016975,0.016950,-0.000000000001180
51,51,0.016550,0.016450,-0.000000000000570
52,52,0.016150,0.015475,-0.000000000000570
53,53,0.020400,0.020325,-0.000000000000570
54,54,0.015250,0.015175,-0.000000000000570
55,55,0.015225,0.015125,-0.000000000000570
56,56,0.019325,0.019250,-0.000000000000570
57,57,0.015150,0.015075,-0.000000000000570
58,58,0.015250,0.015300,-0.000000000001750
59,59,0.015950,0.015900,-0.000000000001180
60,60,0.019075,0.019025,-0.000000000001180
61,61,0.015925,0.015975,-0.000000000001750
62,62,0.015300,0.015250,-0.000000000000570
63,63,0.016000,0.016075,-0.000000000001750
64,64,0.015625,0.015525,-0.000000000000570
65,65,0.015725,0.015350,-0.000000000000570
66,66,0.018675,0.018600,-0.000000000000570
67,67,0.015800,0.015750,-0.000000000000570
68,68,0.018175,0.018100,-0.000000000000570
69,69,0.015200,0.015125,-0.000000000000570
70,70,0.016075,0.016025,-0.000000000000570
71,71,0.023000,0.022900,-0.000000000000570
72,72,0.016075,0.015550,-0.000000000000570
73,73,0.016100,0.016000,-0.000000000000570
74,74,0.016975,0.016750,-0.000000000000570
75,75,0.016025,0.015975,-0.000000000000570
76,76,0.015775,0.015625,-0.000000000000570
77,77,0.016875,0.016825,-0.000000000000570
78,78,0.015775,0.015425,-0.000000000000570
79,79,0.019450,0.019525,-0.000000000001180
80,80,0.015825,0.015700,-0.000000000000570
81,81,0.016825,0.016750,-0.000000000000570
82,82,0.017325,0.017050,-0.000000000000570
83,83,0.017050,0.016975,-0.000000000000570
84,84,0.015900,0.015825,-0.000000000000570
85,85,0.017125,0.017050,-0.000000000000570
86,86,0.015775,0.015650,-0.000000000000570
87,87,0.026025,0.025925,-0.000000000000570
88,88,0.021475,0.021050,-0.000000000000570
89,89,0.016050,0.015300,-0.000000000000570
90,90,0.016200,0.016050,-0.000000000000570
91,91,0.018225,0.017625,-0.000000000000570
92,92,0.019600,0.019500,-0.000000000000570
93,93,0.015200,0.015150,-0.000000000001180
94,94,0.015200,0.015150,-0.000000000001180
95,95,0.015825,0.015750,-0.000000000000570
96,96,0.031750,0.031700,-0.000000000000570
97,97,0.015300,0.015100,-0.000000000000570
98,98,0.016050,0.015950,-0.000000000000570
99,99,0.015600,0.015500,-0.000000000000570
100,100,0.017075,0.017000,-0.000000000000570
101,101,0.019475,0.019375,-0.000000000000570
102,102,0.017425,0.017350,-0.000000000000570
103,103,0.019625,0.019550,-0.000000000000570
104,104,0.015725,0.015600,-0.000000000000570
105,105,0.015900,0.015500,-0.000000000000570
106,106,0.017700,0.017250,-0.000000000000570
107,107,0.016725,0.016550,-0.000000000000570
