,Episode Number,First Activation Time [ms],First Event Time [ms],First Event Amplitude[pA]
0,0,10.025,9.975,-0.530
1,1,10.325,10.250,-0.530
2,2,13.375,13.325,-0.530
3,3,10.000,9.925,-0.530
4,4,10.200,9.750,-0.530
5,5,10.000,10.050,-1.100
6,6,12.925,12.675,-0.530
7,7,10.250,10.150,-0.530
8,8,15.225,15.200,-1.100
9,9,10.925,10.850,-0.530
10,10,10.000,9.600,-0.530
11,11,11.650,11.575,-0.530
12,12,14.475,14.400,-1.100
13,13,11.500,11.450,-1.100
14,14,11.125,11.050,-0.530
15,15,12.150,11.550,-0.530
16,16,10.425,10.375,-0.530
17,17,11.725,11.675,-0.530
18,18,10.400,10.325,-0.530
19,19,10.000,9.875,-0.530
20,20,10.150,10.050,-0.530
21,21,11.125,11.050,-0.530
22,22,10.000,9.975,-0.530
23,23,10.675,10.600,-0.530
24,24,10.325,10.275,-0.530
25,25,11.225,11.150,-0.530
26,26,10.325,9.975,-0.530
27,27,10.125,10.075,-1.100
28,28,12.050,11.950,-0.530
29,29,11.050,10.950,-0.530
30,30,11.475,11.400,-0.530
31,31,14.125,13.675,-0.530
32,32,10.175,10.100,-0.530
33,33,10.400,10.200,-0.530
34,34,11.300,11.200,-0.530
35,35,14.725,14.625,-0.530
36,36,10.000,9.800,-0.530
37,37,11.575,11.475,-0.530
38,38,10.450,10.400,-0.530
39,39,10.000,8.225,-0.530
40,40,13.250,12.925,-0.530
41,41,12.075,11.900,-0.530
42,42,11.475,11.550,-1.100
43,43,10.600,10.475,-0.530
44,44,11.450,11.375,-0.530
45,45,10.400,10.275,-0.530
46,46,11.400,11.350,-0.530
47,47,10.000,9.925,-0.530
48,48,10.550,10.450,-0.530
49,49,11.900,11.800,-0.530
50,50,12.325,11.925,-0.530
51,51,10.000,9.575,-0.530
52,52,10.950,10.475,-0.530
53,53,12.225,12.125,-0.530
54,54,10.425,10.325,-0.530
55,55,14.350,14.300,-1.100
56,56,11.425,11.250,-0.530
57,57,12.325,12.225,-0.530
58,58,10.000,9.625,-0.530
59,59,12.650,12.575,-0.530
60,60,10.675,10.600,-0.530
61,61,12.150,12.050,-0.530
62,62,14.200,14.325,-2.170
63,63,11.550,11.450,-0.530
64,64,12.775,12.650,-0.530
65,65,10.075,10.150,-1.100
66,66,14.450,14.375,-0.530
67,67,12.275,12.200,-0.530
68,68,11.200,11.100,-0.530
69,69,10.200,10.075,-0.530
70,70,13.200,12.750,-0.530
71,71,10.000,9.300,-0.530
72,72,12.150,11.700,-0.530
73,73,13.200,13.100,-0.530
74,74,14.400,14.675,-2.170
75,75,10.500,8.675,-0.530
76,76,26.475,26.450,-0.530
77,77,14.475,14.525,-1.630
78,78,11.925,11.725,-0.530
79,79,13.625,13.150,-0.530
80,80,10.000,9.350,-0.530
81,81,10.000,9.750,-0.530
82,82,11.200,10.975,-0.530
83,83,11.675,11.600,-0.530
84,84,13.025,12.950,-0.530
85,85,10.375,10.200,-0.530
86,86,12.450,12.350,-0.530
87,87,11.425,11.250,-0.530
88,88,11.525,11.375,-0.530
89,89,10.000,9.750,-0.530
90,90,11.200,10.900,-0.530
91,91,10.250,10.150,-0.530
92,92,13.600,13.500,-0.530
93,93,14.175,14.050,-0.530
94,94,11.175,11.150,-0.530
95,95,12.575,12.475,-0.530
96,96,12.125,12.050,-0.530
97,97,13.550,13.450,-0.530
98,98,12.750,12.700,-0.530
99,99,11.125,11.000,-0.530
100,100,12.750,12.825,-1.100
101,101,10.675,10.550,-0.530
102,102,10.825,10.750,-0.530
103,103,14.850,14.350,-0.530
104,104,12.275,12.350,-1.100
105,105,10.700,10.600,-0.530
106,106,10.400,10.250,-0.530
107,107,10.175,10.025,-0.530
108,108,10.225,10.150,-0.530
109,109,13.050,12.900,-0.530
110,110,10.175,10.025,-0.530
111,111,11.625,11.500,-0.530
112,112,10.400,10.300,-0.530
113,113,12.925,12.850,-0.530
114,114,13.075,12.550,-0.530
115,115,11.025,10.975,-1.100
116,116,10.375,10.300,-0.530
117,117,14.575,14.550,-1.100
118,118,10.225,10.300,-1.100
119,119,12.350,12.300,-0.530
120,120,12.500,12.425,-0.530
121,121,10.000,10.300,-0.530
122,122,10.500,10.225,-0.530
123,123,10.100,9.750,-0.530
124,124,10.350,10.300,-0.530
125,125,10.000,10.800,-0.530
126,126,10.125,9.950,-0.530
127,127,14.375,13.650,-0.530
128,128,14.300,14.375,-1.100
129,129,12.700,12.575,-0.530
130,130,10.000,9.825,-0.530
131,131,11.750,11.600,-0.530
132,132,13.475,13.375,-0.530
133,133,11.075,10.975,-0.530
134,134,11.350,11.250,-0.530
135,135,11.050,10.950,-0.530
136,136,11.225,11.000,-0.530
137,137,10.400,10.200,-0.530
138,138,11.275,11.150,-0.530
139,139,13.925,13.750,-0.530
140,140,13.325,13.125,-0.530
141,141,12.950,12.825,-0.530
142,142,11.600,11.475,-0.530
143,143,11.000,10.875,-0.530
144,144,12.700,12.625,-0.530
145,145,10.475,10.400,-0.530
146,146,14.350,14.300,-1.100
147,147,10.200,10.100,-0.530
148,148,11.250,11.175,-0.530
149,149,14.475,14.400,-1.100
150,150,12.075,11.950,-0.530
151,151,12.050,11.975,-0.530
152,152,12.575,12.450,-0.530
153,153,10.825,10.750,-0.530
154,154,14.600,14.550,-1.100
155,155,10.000,9.650,-0.530
156,156,13.800,13.725,-0.530
157,157,12.750,12.300,-0.530
158,158,11.375,11.300,-0.530
159,159,14.000,13.900,-0.530
160,160,10.725,10.600,-0.530
161,161,13.200,13.100,-0.530
162,162,13.175,13.125,-0.530
163,163,12.875,12.775,-0.530
164,164,14.450,14.375,-0.530
165,165,12.100,12.025,-0.530
166,166,13.775,13.675,-0.530
167,167,11.600,11.500,-0.530
168,168,14.375,14.325,-1.100
169,169,12.600,12.550,-0.530
170,170,13.225,13.175,-0.530
171,171,11.000,10.950,-0.530
172,172,10.125,10.050,-0.530
173,173,14.325,14.400,-1.100
174,174,12.300,12.025,-0.530
175,175,11.200,11.100,-0.530
176,176,14.500,14.375,-0.530
177,177,12.225,12.100,-0.530
178,178,13.550,13.475,-0.530
179,179,11.425,11.375,-1.100
180,180,12.600,12.675,-1.100
181,181,11.125,11.075,-0.530
182,182,12.750,12.700,-1.100
183,183,10.500,10.575,-1.100
184,184,10.000,8.450,-0.530
185,185,11.050,10.925,-0.530
186,186,12.700,12.600,-0.530
187,187,10.700,10.175,-0.530
188,188,10.325,10.100,-0.530
189,189,14.425,14.350,-0.530
190,190,15.525,15.450,-0.530
191,191,10.725,10.675,-0.530
192,192,69.250,69.150,-0.530
193,193,11.450,11.400,-0.530
194,194,12.300,12.200,-0.530
195,195,12.575,12.425,-0.530
196,196,10.000,9.750,-2.170
197,197,10.025,10.325,-2.170
198,198,11.075,11.150,-1.100
199,199,11.200,11.150,-0.530
200,200,10.100,10.050,-0.530
201,201,12.075,12.000,-0.530
